"103000286","02","23","30","18","16"
"103000287","37","10","12","27","20"
"103000288","37","17","19","22","24"
"103000289","20","35","09","23","21"
"103000290","16","28","11","19","18"
"103000291","16","20","36","25","14"
"103000292","01","18","32","37","14"
"103000293","27","02","35","24","08"
"103000294","32","04","09","21","13"
"103000295","30","39","11","33","03"
"103000296","13","11","33","32","37"
"103000297","03","36","24","17","38"
"103000298","35","37","25","22","17"
"103000299","23","26","20","35","17"
"103000300","34","21","24","04","22"
"103000301","25","26","02","04","36"
"103000302","05","32","23","16","04"
"103000303","17","22","15","10","27"
"103000304","22","17","15","21","04"
"103000305","29","08","27","17","06"
"103000306","38","21","30","11","18"
"103000307","36","08","19","33","24"
"103000308","26","28","21","29","16"
"103000309","31","07","27","34","33"
"103000310","11","16","28","32","34"
"103000311","39","07","26","20","19"
"103000312","26","21","04","24","05"
"103000313","19","26","05","33","30"
"104000001","32","26","21","10","11"
"104000002","28","30","09","07","18"
"104000003","32","28","14","31","09"
"104000004","16","09","24","10","28"
"104000005","36","16","20","26","19"
"104000006","12","14","13","37","36"
"104000007","29","26","15","21","12"
"104000008","17","11","01","08","09"
"104000009","37","26","12","04","31"
"104000010","24","34","07","15","37"
"104000011","12","13","33","26","39"
"104000012","35","19","05","30","12"
"104000013","11","09","17","34","12"
"104000014","28","09","33","05","16"
"104000015","32","04","23","39","13"
"104000016","29","10","12","38","37"
"104000017","14","28","02","32","17"
"104000018","18","02","35","32","16"
"104000019","24","01","11","32","15"
"104000020","06","08","07","16","10"
"104000021","07","05","13","12","15"
"104000022","21","09","01","10","02"
"104000023","09","28","17","16","21"
"104000024","17","01","27","30","05"
"104000025","10","09","06","02","26"
"104000026","28","05","29","36","13"
"104000027","16","37","06","04","35"
"104000028","23","17","13","39","29"
"104000029","22","23","17","09","29"
"104000030","01","13","28","35","36"
"104000031","36","23","07","10","20"
"104000032","31","30","25","02","14"
"104000033","31","06","16","04","21"
"104000034","28","26","39","25","12"
"104000035","22","17","07","15","25"
"104000036","23","05","06","29","15"
"104000037","20","07","32","02","25"
"104000038","33","01","04","23","16"
"104000039","33","05","08","04","20"
"104000040","20","31","27","14","02"
"104000041","29","04","01","22","17"
"104000042","07","30","17","25","12"
"104000043","12","21","26","30","03"
"104000044","19","15","10","09","24"
"104000045","18","02","15","31","26"
"104000046","38","23","24","25","04"
"104000047","27","14","23","12","11"
"104000048","38","25","11","05","26"
"104000049","29","36","18","08","39"
"104000050","01","12","30","33","16"
"104000051","09","08","23","28","11"
"104000052","27","23","15","19","10"
"104000053","23","33","32","36","35"
"104000054","35","29","20","03","11"
"104000055","26","38","20","09","31"
"104000056","26","10","02","01","11"
"104000057","33","16","03","17","31"
"104000058","38","20","12","16","28"
"104000059","36","37","17","26","34"
